Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
CASH,3,4,66.86000061,136.4499969,Advance shipping,0,46,Indoor/Outdoor Games,Rome,EE. UU.,XXXXXXXXX,Joseph,3369,Clark,XXXXXXXXX,Consumer,NY,8056 Golden Log Bend,13440.0,7,Fan Shop,43.21662521,-75.45603943,LATAM,Milpa Alta,México,3369,1/19/2017 7:32,51332,1014,13.48999977,0.090000004,128296,49.97999954,0.49000001,3,149.9400024,136.4499969,66.86000061,Central America,Distrito Federal,CLOSED,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/22/2017 7:32,Standard Class
TRANSFER,2,1,40.95000076,87.12999725,Late delivery,1,11,Fitness Accessories,Staten Island,EE. UU.,XXXXXXXXX,Nicholas,12226,Smith,XXXXXXXXX,Consumer,NY,3612 Silver Autumn Extension,10314.0,3,Footwear,40.58441544,-74.15991974,USCA,Philadelphia,Estados Unidos,12226,5/22/2016 7:10,34753,235,17.84000015,0.170000002,86813,34.99000168,0.469999999,3,104.9700012,87.12999725,40.95000076,East of USA,Pensilvania,PROCESSING,19143.0,235,11,,http://images.acmesports.sports/Under+Armour+Hustle+Storm+Medium+Duffle+Bag,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,0,5/24/2016 7:10,First Class
PAYMENT,6,2,16.05999947,254.9600067,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Joseph,3838,Jackson,XXXXXXXXX,Consumer,PR,6341 Green Panda Impasse,725.0,4,Apparel,18.27255058,-66.37055206,Europe,Nantes,Francia,3838,7/8/2015 10:35,12910,365,44.99000168,0.150000006,32289,59.99000168,0.059999999,5,299.9500122,254.9600067,16.05999947,Western Europe,Países del Loira,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,7/14/2015 10:35,Second Class
TRANSFER,3,4,16.71999931,49.47999954,Advance shipping,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,XXXXXXXXX,Mary,9376,Hill,XXXXXXXXX,Corporate,PR,611 Colonial Lake Mall ,725.0,7,Fan Shop,18.27402878,-66.37052155,Africa,Sale,Marruecos,9376,11/4/2016 11:29,46137,1014,0.5,0.01,115345,49.97999954,0.340000004,1,49.97999954,49.47999954,16.71999931,North Africa,Rabat-Salé-Zemur-Zaer,PENDING,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,11/7/2016 11:29,Standard Class
TRANSFER,3,4,50.66999817,175.9299927,Advance shipping,0,46,Indoor/Outdoor Games,Lansdale,EE. UU.,XXXXXXXXX,Margaret,3068,Smith,XXXXXXXXX,Consumer,PA,8205 Silver Treasure Loop,19446.0,7,Fan Shop,40.24383545,-75.28388214,Europe,Colmar,Francia,3068,9/20/2015 13:17,17987,1014,23.98999977,0.119999997,44940,49.97999954,0.289999992,4,199.9199982,175.9299927,50.66999817,Western Europe,Alsacia-Champaña-Ardenas-Lorena,PROCESSING,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,9/23/2015 13:17,Standard Class
PAYMENT,2,4,29.70000076,237.5599976,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Kathy,11517,Kelley,XXXXXXXXX,Consumer,PR,9916 Wishing Manor,725.0,4,Apparel,18.23433113,-66.37055969,Europe,Munich,Alemania,11517,10/13/2015 2:13,19531,365,2.400000095,0.01,48819,59.99000168,0.129999995,4,239.9600067,237.5599976,29.70000076,Western Europe,Bavaria,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,10/15/2015 2:13,Standard Class
TRANSFER,3,4,1.590000033,25.19000053,Shipping canceled,0,44,Hunting & Shooting,West New York,EE. UU.,XXXXXXXXX,Juan,3762,Smith,XXXXXXXXX,Consumer,NJ,5496 Cotton Dell,7093.0,7,Fan Shop,40.78874207,-74.00895691,LATAM,Mexico City,México,3762,3/30/2015 0:55,6032,977,4.800000191,0.159999996,15038,29.98999977,0.059999999,1,29.98999977,25.19000053,1.590000033,Central America,Distrito Federal,CANCELED,,977,44,,http://images.acmesports.sports/ENO+Atlas+Hammock+Straps,ENO Atlas Hammock Straps,29.98999977,0,4/2/2015 0:55,Standard Class
PAYMENT,4,4,-912.9500122,331.980011,Shipping on time,0,45,Fishing,Los Angeles,EE. UU.,XXXXXXXXX,Mary,10085,Mccarthy,XXXXXXXXX,Consumer,CA,8368 Wishing Mountain,90034.0,7,Fan Shop,34.02927399,-118.4060135,LATAM,Managua,Nicaragua,10085,2/26/2015 21:17,3898,1004,68.0,0.170000002,9699,399.980011,-2.75,1,399.980011,331.980011,-912.9500122,Central America,Managua,PENDING_PAYMENT,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,3/2/2015 21:17,Standard Class
TRANSFER,2,1,0.0,149.9400024,Shipping canceled,0,46,Indoor/Outdoor Games,Lakewood,EE. UU.,XXXXXXXXX,Justin,2815,Patterson,XXXXXXXXX,Consumer,NJ,6220 Little Key,8701.0,7,Fan Shop,40.09635925,-74.21524048,LATAM,San Salvador,El Salvador,2815,3/23/2017 10:25,55656,1014,0.0,0.0,139200,49.97999954,0.0,3,149.9400024,149.9400024,0.0,Central America,San Salvador,CANCELED,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,3/25/2017 10:25,First Class
DEBIT,2,4,79.87000275,169.9299927,Advance shipping,0,46,Indoor/Outdoor Games,Porterville,EE. UU.,XXXXXXXXX,Kathleen,1717,Frank,XXXXXXXXX,Home Office,CA,8094 Broad Dale,93257.0,7,Fan Shop,36.06955338,-119.0176849,LATAM,Francisco Beltrão,Brasil,1717,1/29/2015 18:10,1971,1014,29.98999977,0.150000006,4929,49.97999954,0.469999999,4,199.9199982,169.9299927,79.87000275,South America,Paraná,COMPLETE,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/31/2015 18:10,Standard Class
